,name,year,month,day,hour,minute,library,index,conc,RIN,set,lineGC,sublineGC,coditionGC,cycle
W201113-1_001,W201113-1-1,2011,7,5,12,1,W201113-1,1,33.8,NA,weekly,NA,NA,NA,1
W201113-1_002,W201113-1-2,2011,7,5,12,1,W201113-1,2,78.8,NA,weekly,NA,NA,NA,1
W201113-1_003,W201113-1-3,2011,7,5,12,1,W201113-1,3,21,NA,weekly,NA,NA,NA,1
W201113-1_004,W201113-1-4,2011,7,5,12,1,W201113-1,4,46.2,NA,weekly,NA,NA,NA,1
W201113-1_005,W201113-1-5,2011,7,5,12,1,W201113-1,5,15.24,NA,weekly,NA,NA,NA,1
W201113-1_006,W201113-1-6,2011,7,12,12,1,W201113-1,6,33,NA,weekly,NA,NA,NA,1
W201113-1_007,W201113-1-7,2011,7,12,12,1,W201113-1,7,31.2,NA,weekly,NA,NA,NA,1
W201113-1_008,W201113-1-8,2011,7,12,12,1,W201113-1,8,22.6,NA,weekly,NA,NA,NA,1
W201113-1_009,W201113-1-9,2011,7,12,12,1,W201113-1,9,13.2,NA,weekly,NA,NA,NA,1
W201113-1_010,W201113-1-10,2011,7,12,12,1,W201113-1,10,19.74,NA,weekly,NA,NA,NA,1
W201113-1_011,W201113-1-11,2011,7,19,12,1,W201113-1,11,22.2,NA,weekly,NA,NA,NA,1
W201113-1_012,W201113-1-12,2011,7,19,12,1,W201113-1,12,27.2,NA,weekly,NA,NA,NA,1
W201113-1_013,W201113-1-13,2011,7,19,12,1,W201113-1,13,5.92,NA,weekly,NA,NA,NA,1
W201113-1_014,W201113-1-14,2011,7,19,12,1,W201113-1,14,52.8,NA,weekly,NA,NA,NA,1
W201113-1_015,W201113-1-15,2011,7,19,12,1,W201113-1,15,5.52,NA,weekly,NA,NA,NA,1
W201113-1_016,W201113-1-16,2011,8,2,12,1,W201113-1,16,12.66,NA,weekly,NA,NA,NA,1
W201113-1_017,W201113-1-17,2011,8,2,12,1,W201113-1,17,10.06,NA,weekly,NA,NA,NA,1
W201113-1_018,W201113-1-18,2011,8,2,12,1,W201113-1,18,60.8,NA,weekly,NA,NA,NA,1
W201113-1_019,W201113-1-19,2011,9,20,12,1,W201113-1,19,8.72,NA,weekly,NA,NA,NA,1
W201113-1_020,W201113-1-20,2011,9,20,12,1,W201113-1,20,19.64,NA,weekly,NA,NA,NA,1
W201113-1_021,W201113-1-21,2011,9,20,12,1,W201113-1,21,26.8,NA,weekly,NA,NA,NA,1
W201113-1_022,W201113-1-22,2011,9,20,12,1,W201113-1,22,11.16,NA,weekly,NA,NA,NA,1
W201113-1_023,W201113-1-23,2011,9,20,12,1,W201113-1,23,8.64,NA,weekly,NA,NA,NA,1
W201113-1_024,W201113-1-24,2011,9,20,12,1,W201113-1,24,24.2,NA,weekly,NA,NA,NA,1
W201113-1_025,W201113-1-25,2011,9,29,12,1,W201113-1,25,19.2,NA,weekly,NA,NA,NA,1
W201113-1_026,W201113-1-26,2011,9,29,12,1,W201113-1,26,49.6,NA,weekly,NA,NA,NA,1
W201113-1_027,W201113-1-27,2011,9,29,12,1,W201113-1,27,6.48,NA,weekly,NA,NA,NA,1
W201113-1_028,W201113-1-28,2011,9,29,12,1,W201113-1,28,16.52,NA,weekly,NA,NA,NA,1
W201113-1_029,W201113-1-29,2011,9,29,12,1,W201113-1,29,6.02,NA,weekly,NA,NA,NA,1
W201113-1_030,W201113-1-30,2011,9,29,12,1,W201113-1,30,69.4,NA,weekly,NA,NA,NA,1
W201113-1_031,W201113-1-31,2011,10,5,12,1,W201113-1,31,11.62,NA,weekly,NA,NA,NA,1
W201113-1_032,W201113-1-32,2011,10,5,12,1,W201113-1,32,22.8,NA,weekly,NA,NA,NA,1
W201113-1_033,W201113-1-33,2011,10,5,12,1,W201113-1,33,19.36,NA,weekly,NA,NA,NA,1
W201113-1_034,W201113-1-34,2011,10,5,12,1,W201113-1,34,5.46,NA,weekly,NA,NA,NA,1
W201113-1_036,W201113-1-36,2011,10,12,12,1,W201113-1,36,9.94,NA,weekly,NA,NA,NA,1
W201113-1_037,W201113-1-37,2011,10,12,12,1,W201113-1,37,10.74,NA,weekly,NA,NA,NA,1
W201113-1_038,W201113-1-38,2011,10,12,12,1,W201113-1,38,9.86,NA,weekly,NA,NA,NA,1
W201113-1_039,W201113-1-39,2011,10,12,12,1,W201113-1,39,10.42,NA,weekly,NA,NA,NA,1
W201113-1_040,W201113-1-40,2011,10,12,12,1,W201113-1,40,66.4,NA,weekly,NA,NA,NA,1
W201113-1_041,W201113-1-41,2011,10,18,12,1,W201113-1,41,59.8,NA,weekly,NA,NA,NA,1
W201113-1_042,W201113-1-42,2011,10,18,12,1,W201113-1,42,10.38,NA,weekly,NA,NA,NA,1
W201113-1_043,W201113-1-43,2011,10,18,12,1,W201113-1,43,7.46,NA,weekly,NA,NA,NA,1
W201113-1_044,W201113-1-44,2011,10,18,12,1,W201113-1,44,24,NA,weekly,NA,NA,NA,1
W201113-1_045,W201113-1-45,2011,10,18,12,1,W201113-1,45,21.8,NA,weekly,NA,NA,NA,1
W201113-1_046,W201113-1-46,2011,10,25,12,1,W201113-1,46,8.42,NA,weekly,NA,NA,NA,1
W201113-1_047,W201113-1-47,2011,10,25,12,1,W201113-1,47,5.14,NA,weekly,NA,NA,NA,1
W201113-1_048,W201113-1-48,2011,10,25,12,1,W201113-1,48,19.56,NA,weekly,NA,NA,NA,1
W201113-1_049,W201113-1-49,2011,10,25,12,1,W201113-1,49,17.08,NA,weekly,NA,NA,NA,1
W201113-1_050,W201113-1-50,2011,10,25,12,1,W201113-1,50,5.52,NA,weekly,NA,NA,NA,1
W201113-1_051,W201113-1-51,2011,10,25,12,1,W201113-1,51,54.8,NA,weekly,NA,NA,NA,1
W201113-1_052,W201113-1-52,2011,11,1,12,1,W201113-1,52,8.02,NA,weekly,NA,NA,NA,1
W201113-1_053,W201113-1-53,2011,11,1,12,1,W201113-1,53,83,NA,weekly,NA,NA,NA,1
W201113-1_054,W201113-1-54,2011,11,1,12,1,W201113-1,54,32.4,NA,weekly,NA,NA,NA,1
W201113-1_055,W201113-1-55,2011,11,1,12,1,W201113-1,55,7.94,NA,weekly,NA,NA,NA,1
W201113-1_056,W201113-1-56,2011,11,8,12,1,W201113-1,56,4.4,NA,weekly,NA,NA,NA,1
