,sampleID,RID,month,rep,day,library,index,set,num.month,day_temp
d7Apr1,d7Apr1,Apr_1,Apr,1,7,AthYK_1,9,seasonal,4,13.9
d7Apr3,d7Apr3,Apr_3,Apr,3,7,AthYK_1,10,seasonal,4,13.9
d7Apr4,d7Apr4,Apr_4,Apr,4,7,AthYK_1,11,seasonal,4,13.9
d7Apr5,d7Apr5,Apr_5,Apr,5,7,AthYK_1,12,seasonal,4,13.9
d7May1,d7May1,May_1,May,1,7,AthYK_1,13,seasonal,5,19.4
d7May2,d7May2,May_2,May,2,7,AthYK_1,14,seasonal,5,19.4
d7May3,d7May3,May_3,May,3,7,AthYK_1,15,seasonal,5,19.4
d7May4,d7May4,May_4,May,4,7,AthYK_1,16,seasonal,5,19.4
d7May5,d7May5,May_5,May,5,7,AthYK_1,17,seasonal,5,19.4
d7Jun1,d7Jun1,Jun_1,Jun,1,7,AthYK_1,18,seasonal,6,23.2
d7Jun2,d7Jun2,Jun_2,Jun,2,7,AthYK_1,19,seasonal,6,23.2
d7Jun3,d7Jun3,Jun_3,Jun,3,7,AthYK_1,20,seasonal,6,23.2
d7Jun4,d7Jun4,Jun_4,Jun,4,7,AthYK_1,21,seasonal,6,23.2
d7Jul1,d7Jul1,Jul_1,Jul,1,7,AthYK_1,22,seasonal,7,26.8
d7Jul2,d7Jul2,Jul_2,Jul,2,7,AthYK_1,23,seasonal,7,26.8
d7Jul3,d7Jul3,Jul_3,Jul,3,7,AthYK_1,24,seasonal,7,26.8
d7Jul4,d7Jul4,Jul_4,Jul,4,7,AthYK_1,25,seasonal,7,26.8
d7Jul5,d7Jul5,Jul_5,Jul,5,7,AthYK_1,26,seasonal,7,26.8
d7Aug1,d7Aug1,Aug_1,Aug,1,7,AthYK_1,27,seasonal,8,28.3
d7Aug3,d7Aug3,Aug_3,Aug,3,7,AthYK_1,29,seasonal,8,28.3
d7Aug4,d7Aug4,Aug_4,Aug,4,7,AthYK_1,30,seasonal,8,28.3
d7Sep1,d7Sep1,Sep_1,Sep,1,7,AthYK_1,31,seasonal,9,24.4
d7Sep2,d7Sep2,Sep_2,Sep,2,7,AthYK_1,32,seasonal,9,24.4
d7Sep3,d7Sep3,Sep_3,Sep,3,7,AthYK_1,33,seasonal,9,24.4
d7Sep4,d7Sep4,Sep_4,Sep,4,7,AthYK_1,34,seasonal,9,24.4
d7Sep5,d7Sep5,Sep_5,Sep,5,7,AthYK_1,35,seasonal,9,24.4
d7Oct1,d7Oct1,Oct_1,Oct,1,7,AthYK_1,36,seasonal,10,18.7
d7Oct2,d7Oct2,Oct_2,Oct,2,7,AthYK_1,37,seasonal,10,18.7
d7Oct3,d7Oct3,Oct_3,Oct,3,7,AthYK_1,38,seasonal,10,18.7
d7Oct4,d7Oct4,Oct_4,Oct,4,7,AthYK_1,39,seasonal,10,18.7
d7Oct5,d7Oct5,Oct_5,Oct,5,7,AthYK_1,40,seasonal,10,18.7
d7Nov1,d7Nov1,Nov_1,Nov,1,7,AthYK_1,41,seasonal,11,12.8
d7Nov2,d7Nov2,Nov_2,Nov,2,7,AthYK_1,42,seasonal,11,12.8
d7Nov3,d7Nov3,Nov_3,Nov,3,7,AthYK_1,43,seasonal,11,12.8
d7Nov4,d7Nov4,Nov_4,Nov,4,7,AthYK_1,44,seasonal,11,12.8
d7Nov5,d7Nov5,Nov_5,Nov,5,7,AthYK_1,45,seasonal,11,12.8
d7Dec1,d7Dec1,Dec_1,Dec,1,7,AthYK_1,46,seasonal,12,7.1
d7Dec2,d7Dec2,Dec_2,Dec,2,7,AthYK_1,47,seasonal,12,7.1
d7Dec3,d7Dec3,Dec_3,Dec,3,7,AthYK_1,48,seasonal,12,7.1
d7Dec4,d7Dec4,Dec_4,Dec,4,7,AthYK_1,49,seasonal,12,7.1
d7Jan1,d7Jan1,Jan_1,Jan,1,7,AthYK_1,51,seasonal,1,5
d7Jan3,d7Jan3,Jan_3,Jan,3,7,AthYK_1,52,seasonal,1,5
d7Jan4,d7Jan4,Jan_4,Jan,4,7,AthYK_1,53,seasonal,1,5
d7Jan5,d7Jan5,Jan_5,Jan,5,7,AthYK_1,54,seasonal,1,5
d7Feb2,d7Feb2,Feb_2,Feb,2,7,AthYK_1,55,seasonal,2,5.9
d7Feb3,d7Feb3,Feb_3,Feb,3,7,AthYK_1,56,seasonal,2,5.9
d7Feb4,d7Feb4,Feb_4,Feb,4,7,AthYK_1,57,seasonal,2,5.9
d7Feb5,d7Feb5,Feb_5,Feb,5,7,AthYK_1,58,seasonal,2,5.9
d7Feb6,d7Feb6,Feb_6,Feb,6,7,AthYK_1,59,seasonal,2,5.9
d7Mar1,d7Mar1,Mar_1,Mar,1,7,AthYK_1,60,seasonal,3,9
d7Mar2,d7Mar2,Mar_2,Mar,2,7,AthYK_1,61,seasonal,3,9
d7Mar3,d7Mar3,Mar_3,Mar,3,7,AthYK_1,62,seasonal,3,9
d7Mar5,d7Mar5,Mar_5,Mar,5,7,AthYK_2,9,seasonal,3,9
d7Mar6,d7Mar6,Mar_6,Mar,6,7,AthYK_2,10,seasonal,3,9
d7Mar7,d7Mar7,Mar_7,Mar,7,7,AthYK_2,11,seasonal,3,9
d7Mar8,d7Mar8,Mar_8,Mar,8,7,AthYK_2,12,seasonal,3,9
d7Mar9,d7Mar9,Mar_9,Mar,9,7,AthYK_2,13,seasonal,3,9
d7Jun5,d7Jun5,Jun_5,Jun,5,7,AthYK_2,14,seasonal,6,23.2
d7Jun6,d7Jun6,Jun_6,Jun,6,7,AthYK_2,15,seasonal,6,23.2
